,file_name,transcription
0,processed_1000_increase_volume1,increase volume
1,processed_1000_increase_volume2,increase volume
2,processed_1000_next_song1,next song
3,processed_1000_next_song2,next song
4,processed_1000_pause_music1,pause music
5,processed_1000_pause_music2,pause music
6,processed_1000_play_spotify1,play spotify
7,processed_1000_play_spotify2,play spotify
8,processed_1000_reduce_volume1,reduce volume
9,processed_1000_reduce_volume2,reduce volume
10,processed_1000_skip_song1,skip song
11,processed_1000_skip_song2,skip song
12,processed_1000_stop_music1,stop music
13,processed_1000_stop_music2,stop music
14,processed_1001_increase_volume1,increase volume
15,processed_1001_increase_volume2,increase volume
16,processed_1001_next_song1,next song
17,processed_1001_next_song2,next song
18,processed_1001_pause_music1,pause music
19,processed_1001_pause_music2,pause music
20,processed_1001_play_spotify1,play spotify
21,processed_1001_play_spotify2,play spotify
22,processed_1001_reduce_volume1,reduce volume
23,processed_1001_reduce_volume2,reduce volume
24,processed_1001_skip_song1,skip song
25,processed_1001_skip_song2,skip song
26,processed_1001_stop_music1,stop music
27,processed_1001_stop_music2,stop music
28,processed_1002_increase_volume1,increase volume
29,processed_1002_increase_volume2,increase volume
30,processed_1002_next_song1,next song
31,processed_1002_next_song2,next song
32,processed_1002_pause_music1,pause music
33,processed_1002_pause_music2,pause music
34,processed_1002_play_spotify1,play spotify
35,processed_1002_play_spotify2,play spotify
36,processed_1002_reduce_volume1,reduce volume
37,processed_1002_reduce_volume2,reduce volume
38,processed_1002_skip_song1,skip song
39,processed_1002_skip_song2,skip song
40,processed_1002_stop_music1,stop music
41,processed_1002_stop_music2,stop music
42,processed_1003_increase_volume1,increase volume
43,processed_1003_increase_volume2,increase volume
44,processed_1003_next_song1,next song
45,processed_1003_next_song2,next song
46,processed_1003_pause_music1,pause music
47,processed_1003_pause_music2,pause music
48,processed_1003_play_spotify1,play spotify
49,processed_1003_play_spotify2,play spotify
50,processed_1003_reduce_volume1,reduce volume
51,processed_1003_reduce_volume2,reduce volume
52,processed_1003_skip_song1,skip song
53,processed_1003_skip_song2,skip song
54,processed_1003_stop_music1,stop music
55,processed_1003_stop_music2,stop music
56,processed_1004_increase_volume1,increase volume
57,processed_1004_increase_volume2,increase volume
58,processed_1004_next_song1,next song
59,processed_1004_next_song2,next song
60,processed_1004_pause_music1,pause music
61,processed_1004_pause_music2,pause music
62,processed_1004_play_spotify1,play spotify
